dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2023-06-25,1307.38,500,"kcal","170","30",15,12
2023-06-26,680.682,500,"kcal","86","30",12,12
2023-06-27,681.366,500,"kcal","83","30",13,12
2023-06-28,754.104,500,"kcal","95","30",14,12
2023-06-29,710.3,500,"kcal","80","30",14,12
2023-06-30,894.136,500,"kcal","124","30",14,12
2023-07-01,830.287,500,"kcal","122","30",13,12
2023-07-02,1018.47,500,"kcal","162","30",15,12
2023-07-03,754.129,500,"kcal","93","30",12,12
2023-07-04,720.387,500,"kcal","81","30",13,12
2023-07-05,689.506,500,"kcal","89","30",13,12
2023-07-06,775.433,500,"kcal","85","30",15,12
2023-07-07,630.483,500,"kcal","73","30",12,12
2023-07-08,748.545,500,"kcal","101","30",13,12
2023-07-09,908.617,500,"kcal","130","30",12,12
2023-07-10,688.442,500,"kcal","82","30",13,12
2023-07-11,716.926,500,"kcal","86","30",14,12
2023-07-12,716.772,500,"kcal","93","30",15,12
2023-07-13,684.061,500,"kcal","81","30",12,12
2023-07-14,623.81,500,"kcal","70","30",13,12
2023-07-15,733.065,500,"kcal","99","30",13,12
2023-07-16,551.603,500,"kcal","78","30",12,12
2023-07-17,1019.27,500,"kcal","158","30",15,12
2023-07-18,783.998,500,"kcal","90","30",13,12
2023-07-19,759.335,500,"kcal","89","30",12,12
2023-07-20,683.506,500,"kcal","77","30",14,12
2023-07-21,663.592,500,"kcal","76","30",14,12
2023-07-22,842.699,500,"kcal","71","30",18,12
2023-07-23,682.334,500,"kcal","96","30",12,12
2023-07-24,739.648,500,"kcal","88","30",13,12
2023-07-25,749.817,500,"kcal","82","30",14,12
2023-07-26,602.846,500,"kcal","69","30",13,12
2023-07-27,810.126,500,"kcal","100","30",14,12
2023-07-28,719.007,500,"kcal","88","30",14,12
2023-07-29,884.487,500,"kcal","128","30",12,12
2023-07-30,699.444,500,"kcal","104","30",13,12
2023-07-31,571.57,500,"kcal","69","30",12,12
2023-08-01,690.34,500,"kcal","79","30",14,12
2023-08-02,642.895,500,"kcal","79","30",13,12
2023-08-03,714.303,500,"kcal","97","30",12,12
2023-08-04,535.412,500,"kcal","55","30",13,12
2023-08-05,1324.74,500,"kcal","175","30",13,12
2023-08-06,649.559,500,"kcal","97","30",14,12
2023-08-07,679.594,500,"kcal","78","30",14,12
2023-08-08,784.744,500,"kcal","95","30",13,12
2023-08-09,654.328,500,"kcal","61","30",16,12
2023-08-10,624.499,500,"kcal","73","30",15,12
2023-08-11,760.292,500,"kcal","103","30",14,12
2023-08-12,782.661,500,"kcal","100","30",12,12
2023-08-13,562.641,500,"kcal","68","30",16,12
2023-08-14,522.691,500,"kcal","60","30",12,12
2023-08-15,504.979,500,"kcal","68","30",12,12
2023-08-16,629.708,500,"kcal","76","30",12,12
2023-08-17,664.343,500,"kcal","86","30",14,12
2023-08-18,566.913,500,"kcal","63","30",15,12
2023-08-19,667.013,500,"kcal","83","30",12,12
2023-08-20,907.423,500,"kcal","127","30",15,12
2023-08-21,616.979,500,"kcal","62","30",13,12
2023-08-22,821.647,500,"kcal","94","30",14,12
2023-08-23,789.589,500,"kcal","94","30",12,12
2023-08-24,647.716,500,"kcal","74","30",13,12
2023-08-25,704.326,500,"kcal","76","30",14,12
2023-08-26,707.291,500,"kcal","93","30",12,12
2023-08-27,903.525,500,"kcal","127","30",12,12
2023-08-28,760.166,500,"kcal","83","30",14,12
2023-08-29,739.418,500,"kcal","85","30",14,12
2023-08-30,733.99,500,"kcal","79","30",14,12
2023-08-31,736.73,500,"kcal","89","30",12,12
2023-09-01,732.591,500,"kcal","81","30",13,12
2023-09-02,667.271,500,"kcal","86","30",14,12
2023-09-03,786.714,500,"kcal","104","30",14,12
2023-09-04,624.858,500,"kcal","70","30",13,12
2023-09-05,625.063,500,"kcal","69","30",11,12
2023-09-06,653.15,500,"kcal","75","30",14,12
2023-09-07,554.268,500,"kcal","62","30",14,12
2023-09-08,683.621,500,"kcal","75","30",14,12
2023-09-09,883.575,500,"kcal","123","30",13,12
2023-09-10,984.515,500,"kcal","137","30",15,12
2023-09-11,956.484,500,"kcal","109","30",14,12
2023-09-12,686.2,500,"kcal","79","30",13,12
2023-09-13,887.939,500,"kcal","109","30",15,12
2023-09-14,592.206,500,"kcal","64","30",13,12
2023-09-15,507.388,500,"kcal","56","30",17,12
2023-09-16,610.975,500,"kcal","77","30",14,12
2023-09-17,858.79,500,"kcal","123","30",14,12
2023-09-18,859.058,500,"kcal","102","30",14,12
2023-09-19,767.688,500,"kcal","96","30",17,12
2023-09-20,841.178,500,"kcal","95","30",16,12
2023-09-21,890.091,500,"kcal","107","30",16,12
2023-09-22,619.385,500,"kcal","62","30",15,12
2023-09-23,1111.52,500,"kcal","158","30",13,12
2023-09-24,844.073,500,"kcal","121","30",13,12
2023-09-25,932.337,500,"kcal","116","30",15,12
2023-09-26,845.326,500,"kcal","109","30",15,12
2023-09-27,738.676,500,"kcal","85","30",15,12
2023-09-28,1129.21,500,"kcal","68","30",18,12
2023-09-29,615.196,500,"kcal","67","30",12,12
2023-09-30,820.063,500,"kcal","96","30",14,12
2023-10-01,846.42,500,"kcal","111","30",14,12
2023-10-02,941.901,500,"kcal","117","30",16,12
2023-10-03,737.042,500,"kcal","88","30",13,12
2023-10-04,579.581,500,"kcal","81","30",15,12
2023-10-05,892.738,500,"kcal","108","30",14,12
2023-10-06,795.118,500,"kcal","100","30",14,12
2023-10-07,1002.91,500,"kcal","132","30",13,12
2023-10-08,702.201,500,"kcal","96","30",13,12
2023-10-09,803.965,500,"kcal","111","30",14,12
2023-10-10,782.589,500,"kcal","92","30",15,12
2023-10-11,959.954,500,"kcal","132","30",15,12
2023-10-12,763.542,500,"kcal","97","30",13,12
2023-10-13,641.167,500,"kcal","72","30",15,12
2023-10-14,985.875,500,"kcal","155","30",12,12
